year,county,pop_total
2008,MARIPOSA,18391
2009,MARIPOSA,18283
2007,MARIPOSA,18378
2009,MENDOCINO,87568
2012,MENDOCINO,68703
2010,MENDOCINO,87674
2007,MENDOCINO,87649
2008,MENDOCINO,87782
2006,MENDOCINO,87585
2011,MENDOCINO,87251
2012,MERCED,182143
2007,MERCED,249537
2008,MERCED,251933
2011,MERCED,260117
2010,MERCED,256813
2006,MERCED,245555
2009,MERCED,254128
2006,MODOC,9637
2008,MODOC,9614
2011,MODOC,9682
2007,MODOC,9593
2012,MODOC,7586
2010,MODOC,9688
2009,MODOC,9632
2006,MONO,14144
2010,MONO,14025
2011,MONO,14297
2012,MONO,11205
2009,MONO,14077
2007,MONO,14207
2008,MONO,14069
2006,MONTEREY,405877
2012,MONTEREY,310922
2008,MONTEREY,410877
2011,MONTEREY,419448
2010,MONTEREY,414945
2009,MONTEREY,413587
2007,MONTEREY,407894
2008,NAPA,134788
2010,NAPA,136295
2007,NAPA,133155
2011,NAPA,137238
2006,NAPA,131926
2012,NAPA,107632
2009,NAPA,135661
2006,NEVADA,98335
2012,NEVADA,80280
2007,NEVADA,98484
2008,NEVADA,98687
2009,NEVADA,98434
2010,NEVADA,98531
2011,NEVADA,98426
2012,ORANGE,2347336
2009,ORANGE,2998824
2011,ORANGE,3049097
2010,ORANGE,3014684
2007,ORANGE,2965821
2006,ORANGE,2955431
2008,ORANGE,2982789
2010,PLACER,350059
2011,PLACER,355360
2008,PLACER,337917
2006,PLACER,322272
2012,PLACER,277319
2009,PLACER,344076
2007,PLACER,329722
2010,PLUMAS,19982
2009,PLUMAS,20059
2006,PLUMAS,20709
2008,PLUMAS,20373
2012,PLUMAS,16433
2007,PLUMAS,20593
2011,PLUMAS,19935
2007,RIVERSIDE,2082656
2011,RIVERSIDE,2228021
2012,RIVERSIDE,1640235
2008,RIVERSIDE,2122921
2006,RIVERSIDE,2017353
2010,RIVERSIDE,2196103
2009,RIVERSIDE,2158392
2010,SACRAMENTO,1421459
2006,SACRAMENTO,1372279
2009,SACRAMENTO,1411405
2008,SACRAMENTO,1400931
2011,SACRAMENTO,1434097
2012,SACRAMENTO,1084012
2007,SACRAMENTO,1388081
2012,SAN BENITO,41217
2006,SAN BENITO,54899
2011,SAN BENITO,56008
2010,SAN BENITO,55467
2007,SAN BENITO,55005
2008,SAN BENITO,55050
2009,SAN BENITO,55096
2006,SAN BERNARDINO,1976767
2007,SAN BERNARDINO,2002650
2012,SAN BERNARDINO,1490428
2008,SAN BERNARDINO,2016531
2010,SAN BERNARDINO,2043503
2011,SAN BERNARDINO,2065112
2009,SAN BERNARDINO,2022322
2012,SAN DIEGO,2419097
2006,SAN DIEGO,2982816
2011,SAN DIEGO,3135961
2007,SAN DIEGO,3014169
2009,SAN DIEGO,3077625
2008,SAN DIEGO,3051260
2010,SAN DIEGO,3101068
2010,SAN FRANCISCO,809728
2012,SAN FRANCISCO,719461
2006,SAN FRANCISCO,782931
2009,SAN FRANCISCO,801800
2007,SAN FRANCISCO,791330
2008,SAN FRANCISCO,798669
2011,SAN FRANCISCO,820315
2012,SAN JOAQUIN,501404
2008,SAN JOAQUIN,675240
2006,SAN JOAQUIN,660880
2007,SAN JOAQUIN,669739
2009,SAN JOAQUIN,680419
2011,SAN JOAQUIN,694454
2010,SAN JOAQUIN,687990
2012,SAN LUIS OBISPO,  220724
2007,SAN LUIS OBISPO,  264160
2011,SAN LUIS OBISPO,  270401
2008,SAN LUIS OBISPO,  266843
2006,SAN LUIS OBISPO,  261800
2009,SAN LUIS OBISPO,  268228
2010,SAN LUIS OBISPO,  269044
2012,SAN MATEO,580135
2006,SAN MATEO,699401
2009,SAN MATEO,716266
2011,SAN MATEO,729485
2010,SAN MATEO,720660
2007,SAN MATEO,704274
2008,SAN MATEO,711382
2010,SANTA BARBARA,423560
2006,SANTA BARBARA,412854
2008,SANTA BARBARA,419963
2012,SANTA BARBARA,330842
2011,SANTA BARBARA,425331
2007,SANTA BARBARA,416645
2009,SANTA BARBARA,422424
2008,SANTA CLARA,1759540
2009,SANTA CLARA,1774891
2007,SANTA CLARA,1736332
2011,SANTA CLARA,1814150
2006,SANTA CLARA,1713845
2010,SANTA CLARA,1790141
2012,SANTA CLARA,1405453
2012,SANTA CRUZ,209668
2007,SANTA CRUZ,257602
2006,SANTA CRUZ,255483
2010,SANTA CRUZ,262426
2009,SANTA CRUZ,261910
2011,SANTA CRUZ,265337
2008,SANTA CRUZ,259875
2008,SHASTA,176630
2010,SHASTA,177133
2007,SHASTA,175849
2011,SHASTA,177429
2012,SHASTA,138923
2006,SHASTA,175236
2009,SHASTA,176889
2010,SIERRA,3233
2012,SIERRA,2701
2008,SIERRA,3278
2006,SIERRA,3429
2007,SIERRA,3344
2011,SIERRA,3223
2009,SIERRA,3246
2007,SISKIYOU,44869
2011,SISKIYOU,44885
2010,SISKIYOU,44855
2006,SISKIYOU,44893
2008,SISKIYOU,45042
2012,SISKIYOU,35760
2009,SISKIYOU,44951
2010,SOLANO,412507
2009,SOLANO,412485
2007,SOLANO,412636
2012,SOLANO,317675
2006,SOLANO,411355
2008,SOLANO,413167
2011,SOLANO,414707
2008,SONOMA,476655
2009,SONOMA,480601
2007,SONOMA,472990
2011,SONOMA,486777
2006,SONOMA,469973
2012,SONOMA,386300
2010,SONOMA,483555
2011,STANISLAUS,519022
2006,STANISLAUS,503544
2010,STANISLAUS,515949
2009,STANISLAUS,512050
2012,STANISLAUS,378012
2007,STANISLAUS,508372
2008,STANISLAUS,510392
2007,SUTTER,92500
2008,SUTTER,93462
2012,SUTTER,70075
2006,SUTTER,90631
2011,SUTTER,95389
2010,SUTTER,94857
2009,SUTTER,94371
2012,TEHAMA,48156
2010,TEHAMA,63533
2006,TEHAMA,61546
2008,TEHAMA,62718
2009,TEHAMA,63121
2011,TEHAMA,63659
2007,TEHAMA,62014
2008,TRINITY, 13728
2007,TRINITY, 13784
2012,TRINITY, 11297
2009,TRINITY, 13768
2011,TRINITY, 13732
2006,TRINITY, 13818
2010,TRINITY, 13798
2008,TULARE,431475
2011,TULARE,447361
2007,TULARE,423605
2012,TULARE,307968
2006,TULARE,416093
2009,TULARE,438408
2010,TULARE,442337
2009,TUOLUMNE,55256
2010,TUOLUMNE,55240
2006,TUOLUMNE,56557
2011,TUOLUMNE,54980
2007,TUOLUMNE,56141
2012,TUOLUMNE,44700
2008,TUOLUMNE,56058
2010,VENTURA,824437
2006,VENTURA,801234
2011,VENTURA,831670
2009,VENTURA,818545
2008,VENTURA,812028
2012,VENTURA,628791
2007,VENTURA,805912
2008,YOLO,197585
2009,YOLO,199694
2006,YOLO,190814
2011,YOLO,203086
2007,YOLO,194858
2012,YOLO,158418
2010,YOLO,202391
2008,YUBA,71420
2009,YUBA,71790
2007,YUBA,70228
2006,YUBA,69215
2012,YUBA,52305
2011,YUBA,72790
2010,YUBA,72312
