year,county,pop_total
2012,ALAMEDA,1212173
2007,ALAMEDA,1476399
2009,ALAMEDA,1503828
2006,ALAMEDA,1464841
2010,ALAMEDA,1515326
2011,ALAMEDA,1532382
2008,ALAMEDA,1491778
2009,ALPINE,1176
2011,ALPINE,1170
2012,ALPINE,920
2008,ALPINE,1206
2007,ALPINE,1245
2010,ALPINE,1175
2006,ALPINE,1249
2011,AMADOR,36928
2012,AMADOR,30545
2007,AMADOR,38080
2008,AMADOR,37866
2010,AMADOR,37632
2009,AMADOR,37899
2006,AMADOR,37962
2007,BUTTE,217113
2006,BUTTE,215679
2008,BUTTE,218484
2011,BUTTE,220636
2012,BUTTE,175253
2010,BUTTE,220202
2009,BUTTE,219290
2012,CALAVERAS,36985
2007,CALAVERAS,45636
2011,CALAVERAS,45399
2009,CALAVERAS,45563
2010,CALAVERAS,45542
2008,CALAVERAS,45704
2006,CALAVERAS,45318
2011,COLUSA,21625
2007,COLUSA,21120
2009,COLUSA,21270
2010,COLUSA,21465
2006,COLUSA,20895
2008,COLUSA,21167
2012,COLUSA,15485
2007,CONTRA COSTA,1021247
2009,CONTRA COSTA,1043504
2011,CONTRA COSTA,1064068
2008,CONTRA COSTA,1033294
2006,CONTRA COSTA,1010106
2010,CONTRA COSTA,1051654
2012,CONTRA COSTA,820745
2008,DEL NORTE,28565
2007,DEL NORTE,28482
2011,DEL NORTE,28223
2010,DEL NORTE,28391
2006,DEL NORTE,28275
2009,DEL NORTE,28556
2012,DEL NORTE,22043
2012,EL DORADO,141911
2008,EL DORADO,178601
2011,EL DORADO,180972
2007,EL DORADO,177197
2010,EL DORADO,181014
2006,EL DORADO,175259
2009,EL DORADO,179704
2006,FRESNO,886376
2007,FRESNO,899823
2008,FRESNO,913237
2010,FRESNO,932508
2012,FRESNO,672486
2009,FRESNO,923895
2011,FRESNO,941979
2011,GLENN,28373
2007,GLENN,28015
2008,GLENN,28112
2006,GLENN,27730
2010,GLENN,28188
2009,GLENN,28059
2012,GLENN,20707
2010,HUMBOLDT,135000
2009,HUMBOLDT,133763
2012,HUMBOLDT,107424
2008,HUMBOLDT,133203
2011,HUMBOLDT,135395
2007,HUMBOLDT,132658
2006,HUMBOLDT,132218
2012,IMPERIAL,127370
2006,IMPERIAL,162535
2010,IMPERIAL,175195
2007,IMPERIAL,166885
2008,IMPERIAL,170105
2009,IMPERIAL,173242
2011,IMPERIAL,177747
2012,INYO,14707
2011,INYO,18559
2006,INYO,18418
2007,INYO,18443
2008,INYO,18382
2009,INYO,18453
2010,INYO,18547
2006,KERN,786231
2012,KERN,603403
2009,KERN,831134
2007,KERN,805796
2008,KERN,819889
2011,KERN,849617
2010,KERN,841576
2011,KINGS,151441
2010,KINGS,152166
2009,KINGS,151792
2012,KINGS,105963
2006,KINGS,147500
2007,KINGS,150372
2008,KINGS,151841
2006,LAKE,63787
2010,LAKE,64954
2009,LAKE,64383
2011,LAKE,64823
2008,LAKE,64372
2007,LAKE,63986
2012,LAKE,51377
2009,LASSEN,34774
2007,LASSEN,35750
2010,LASSEN,34790
2011,LASSEN,34525
2006,LASSEN,35009
2012,LASSEN,27074
2008,LASSEN,35116
2008,LOS ANGELES,9796810
2007,LOS ANGELES,9773898
2010,LOS ANGELES,9838592
2009,LOS ANGELES,9805233
2011,LOS ANGELES,9902197
2006,LOS ANGELES,9787329
2012,LOS ANGELES,7613930
2010,MADERA,150144
2008,MADERA,149111
2012,MADERA,107725
2007,MADERA,146809
2011,MADERA,151491
2006,MADERA,143526
2009,MADERA,150150
2008,MARIN,250284
2009,MARIN,251230
2011,MARIN,254510
2007,MARIN,248801
2010,MARIN,252290
2012,MARIN,203295
2006,MARIN,247240
2012,MARIPOSA,15158
2011,MARIPOSA,18241
2010,MARIPOSA,18245
2006,MARIPOSA,18243
